Size (sq. ft.),Bedrooms,Bathrooms,Age of House (Years),Distance to City Center (Miles),Price
4775.096363914667,1,4,34,16.723532114193684,3347750.457777777
4848.780945528061,3,1,29,14.25316161859175,3459000.158496513
4156.948331712429,2,3,46,5.290720507399888,3307332.673812534
1940.300584362831,5,1,23,7.9613768078504075,2760595.6741287247
1029.757301628089,1,1,18,16.812350017699867,953304.5685643645
3610.6253166534902,2,3,28,12.70431514505365,2975899.2735299896
2536.6709724542457,4,4,12,3.4117191600699974,3504774.0211300408
1136.968233317027,3,3,47,6.578222201198338,2066592.590738864
2778.778404489589,3,2,22,15.842709157374935,2627207.937201613
751.3094929069609,5,3,11,3.5246730541352735,2714834.2034750925
4601.009769146641,1,4,48,13.85190798914351,3248139.6428947677
1738.6319190400745,4,3,47,11.314377071008304,2572701.336204189
3515.098051157521,5,1,40,3.034750637382788,3561526.9309354224
1971.5287347934081,5,4,28,13.808690588215633,3234263.4737367085
2888.2992931823674,1,2,5,2.9327445160378773,2425167.6743747434
3005.5252291104302,4,4,50,8.028868024282655,3456858.172
1413.3596043123189,1,1,22,6.240342498037953,1336545.8702997176
4866.172362164058,3,2,30,13.831198058470454,3671135.1380169373
4010.5844227889042,2,4,44,15.66901089647238,3236584.911569322
4733.795342882432,3,4,20,3.449499980922678,4262580.59
4537.240341881655,3,1,23,16.25873517771894,3293118.3854907663
3230.7599067687747,5,3,7,0.24355971429170065,4040181.6772028706
4656.246634101714,3,3,43,10.648165092116406,3764832.9333128463
989.3670090284458,4,2,8,10.38409890850601,2211674.4444484203
1462.324594644239,3,1,21,12.514046471961212,1840554.2859872126
799.0000712063675,4,1,3,4.870040553660032,2051772.1426343005
2031.453455358363,1,3,12,0.29615091561100837,2214476.6274712784
2310.180074633721,5,3,33,9.149782031213848,3271767.3147969013
1793.935739805142,4,2,2,1.520983604039265,2821221.1159261027
4246.445040268489,3,3,36,17.854658347456674,3450802.2712894287
2169.714637451793,5,2,27,3.5559598812145503,3143411.039205923
1836.1118426244755,5,4,25,8.562136053223345,3286486.118352088
2987.8627658962932,4,2,49,8.736607765783635,3038872.1457367917
1220.0665898889556,4,2,45,11.102006491980275,2127666.0832091896
4129.666715317774,2,2,33,15.672393740530904,2951058.400952587
928.0228321909916,2,4,14,9.495748195124712,1968769.3702973188
4942.302521042276,5,3,7,0.6124900176874148,4888574.378271706
3997.876984905293,2,2,47,15.44509718238428,2819709.4669092786
1474.3489987503585,3,3,34,1.7352489609557409,2397142.438260382
624.2973153438505,1,2,23,12.866910515951396,1004483.3654572146
4188.030285,5,3,36,16.08824722217272,4056923.116261498
3710.172312929515,1,2,3,5.725534432372771,2790248.3859216194
3807.6315393803443,2,3,11,9.037218986,3232744.308084245
3993.5895254181614,4,1,18,0.3852832594977509,3663762.0156234433
925.7964676299976,5,4,14,16.097116471838717,2735628.8224825417
2177.2492055947996,2,2,29,14.094895689424302,2026399.607113231
1109.8238619105707,3,4,44,4.7046091483180765,2305492.666093241
4397.655073852611,5,2,36,7.8655013375292055,4126190.4282800388
3342.511758041255,5,1,11,13.936798385842115,3402192.8294081027
2055.9513093516566,4,1,18,7.2274461248390125,2558099.6502833655
879.6567413,5,4,33,3.3320540335982254,2872860.2080616048
1968.3222155489136,4,2,6,10.418260024670372,2710468.825385367
2030.806616917687,2,3,27,14.498994648700151,2155096.3335891576
3810.267184687482,3,2,27,6.484109189358622,3305124.326660886
3405.252873962938,3,3,28,2.523268206,3376833.9909712924
4503.736067335837,5,4,36,16.607928820058337,4404382.375371069
2677.745670712577,5,4,19,5.130757142,3805930.610614651
1126.2146821285276,2,1,10,10.305017586721469,1471679.9074341517
3738.277063781178,4,3,49,13.857728674835935,3511656.8764981874
3947.4542139143487,3,2,49,6.409796487844993,3265204.095304592
3069.6196693057836,4,1,38,13.007867093711123,2849325.410882987
3992.2555918000685,2,4,41,9.248219178186412,3370836.3304406237
2772.7006240033193,3,1,22,11.451689436964537,2511989.4413666865
2900.0244492807738,3,2,45,11.852464461977158,2652635.8535051616
2481.1804807776184,1,2,19,16.500598669248035,1880251.185108166
711.8441576740188,2,4,19,13.160892841363195,1762377.1401140627
1074.7222787705396,2,1,10,5.359703174469768,1544839.9940001916
738.2884170216307,1,3,1,1.2861263886550804,1603094.598842031
3400.205809560634,4,3,12,0.1395123270951415,3801985.5763427317
1983.1663167358374,1,3,12,18.097905956863208,1834297.957334972
2837.711041124692,2,2,40,18.847990030863905,2206568.6380493855
4593.292485274809,4,1,48,1.9728186045268916,3781862.788651184
1696.8858082550498,3,3,14,9.792367003816736,2447268.482155508
2405.684861356771,1,1,30,3.1167445488646353,1855180.4578054098
3924.425009589414,4,4,22,18.980106825411283,3837283.2863907986
1606.7119281631387,4,3,21,5.011967084768222,2762789.5404905225
938.7116032466892,4,1,15,10.082777202380278,1957373.1756800564
1874.9063928205794,1,2,41,3.3958418154850434,1729209.278204906
1309.3736639176195,3,4,28,6.721945582,2444920.8384309085
4690.669670307321,4,4,19,5.409446582,4506818.822
4155.729670083435,1,4,27,9.560978255146493,3216318.1880431054
3386.9765286458633,2,4,26,8.453661044240754,3159087.9615424345
4434.426596825958,1,2,43,6.682876112547468,2933228.694266347
4136.157138356104,1,2,28,2.206964591,2948612.195458302
1420.9082590985577,1,3,4,9.741291737938267,1760301.2128948309
4527.259593355902,4,2,48,17.01913956002189,3647919.9235818307
2973.1058644288632,1,2,41,14.631444398052762,2053596.9623576936
4152.736682721875,2,4,37,14.439440194837122,3367252.4555685124
4542.80172,4,2,37,7.385225561231643,3903369.2667113696
1999.215289876201,2,4,43,14.197539705572822,2265329.7689309614
1084.2284679217778,5,1,50,9.36407648,2169505.6224680385
1602.9147151845434,1,1,1,3.0904942076795687,1599320.3915429974
2479.274269955528,4,1,44,8.439090024563214,2615528.2525908174
4199.26497,4,1,19,2.741498757528789,3714475.4279832267
4387.214566327911,1,1,42,2.378208096240064,2800716.0393434716
630.5893743372391,3,1,46,0.5588802383064535,1538790.0005068078
2847.288131341289,3,1,12,5.728800589291389,2713740.971989135
2436.6084138546275,2,4,25,6.684408206414702,2724288.9609033368
1577.274366071213,1,4,34,14.018929887476002,1802931.5033904037
1127.4076162682043,1,4,45,10.806295219207193,1587250.8218542757
2085.506754175963,5,4,7,17.18314926986091,3328763.3097950807
4748.802697215085,3,2,27,3.611765471442564,3831838.957283009
2022.092900891323,3,2,40,5.392537252610299,2367868.623497773
2882.678735670811,1,3,14,18.827414611753973,2259463.993704643
3693.2834191387824,2,2,49,8.936500430818304,2787584.6190573424
2199.9702504688935,1,4,7,15.80211376666825,2213615.768005399
4875.841163972227,2,4,10,9.894136208124833,3954710.7759279343
4834.768097745289,3,1,28,9.474604574812377,3552564.8754807147
1707.8421016316022,5,1,4,3.047514131789883,2837643.686284321
2787.893425926496,4,3,46,17.038872257876864,2987842.1859100284
1923.8645631937866,3,2,46,1.659270082897929,2363419.7980432524
1853.2981752608575,2,4,6,6.274195783595526,2535838.0900628357
762.3025683599443,1,2,17,13.502014627231569,1090783.909739658
3282.083069511546,3,3,27,10.194425261079793,3166825.9476384944
2811.7877022069906,5,1,11,17.639428706733568,3062778.1950731413
826.5065054999532,2,4,11,0.8820292604795268,2105285.5856447034
1826.0444426410904,1,1,35,13.02320963804463,1342230.9466639701
4596.369898253276,4,4,28,9.601562865479783,4330826.61
1654.0723189346786,2,1,10,3.1708052870062535,1878292.9718315315
1237.5374372013816,1,1,5,14.890712951540609,1160627.377674196
2753.5921452212774,4,3,20,8.285006422579876,3275768.862263359
4936.861998086643,1,2,9,10.678479894310001,3274534.319261439
1665.043194650602,4,1,31,19.348594720625854,2055222.621017101
3557.3964085858656,4,4,46,9.775978612401252,3717851.550149225
3951.1263074463573,4,2,32,16.48512002461699,3450533.671335156
1645.6051935665585,1,2,16,15.41459271449076,1499183.6605977812
3804.151933892182,4,1,2,13.28881637,3390972.5576279163
2218.245783964714,2,1,42,17.94656165267164,1704864.5770332415
3382.1456546117497,5,1,17,5.106872774,3568608.2899291944
3387.5307273479366,5,2,9,16.433347506206495,3584771.331654156
2957.4086099289375,4,3,40,7.617971019107117,3291017.802686644
997.2749882393965,5,1,38,16.268568712616304,2047939.0379716894
4275.330980592647,5,2,42,9.926394822,3993810.511951528
2011.4322858756377,4,2,7,17.16841413357039,2592020.7783707287
1420.6814457593587,4,4,33,17.907386400090427,2551865.912982188
779.4106228409612,2,1,36,11.993113126113897,1134515.967
3199.928950028264,3,3,40,10.201776440941773,3060601.864299614
3581.2831921060424,1,4,32,15.687274852313449,2781569.0171110695
672.9864473,4,1,48,5.413025443265549,1752905.6328802898
2853.2094565168363,4,4,9,0.4054387568533969,3738168.8712256677
1596.581410870927,5,1,39,8.201182196819913,2503939.9796033823
3438.7602778015794,2,4,17,10.20470524464586,3194958.952
1367.2122876219623,5,3,24,6.015528116831254,2907968.4995786734
3640.126048,4,4,41,7.728901446581571,3825157.912998111
2301.6355237223647,4,4,40,2.747858835030283,3260533.5032648942
4721.611950441632,5,4,35,5.618069077019101,4738117.511784751
1205.0921542423703,4,1,1,4.877897423500013,2264661.0467555025
2100.6919446211373,3,1,18,6.089638391152725,2303226.1225918317
1099.283493458592,1,3,9,6.051176799758983,1648291.1288384337
4668.6519204256765,1,4,48,11.223470583847506,3334529.4666402056
4460.293154876316,1,2,2,5.086879109901846,3183081.9133444387
1734.9431619466848,3,4,18,18.82512914046378,2465641.9162683845
3503.9298025503876,4,2,50,10.274369124230363,3261150.436894904
4195.777681,5,2,25,2.6664235275543713,4184233.2879959047
3042.8835710376343,2,4,50,5.6641647834332485,2922831.408
2930.4625447664284,4,2,50,14.622174173099513,2887460.7070255415
1664.1500799619873,3,2,46,0.3718148637764765,2259311.6608097814
1009.6521783459565,3,4,24,18.762577925319324,2074247.4487709089
4547.749334994638,1,1,49,8.959020742343542,2714367.1707547656
4561.839451518654,4,4,16,10.469472556724835,4356203.192729148
3385.646412002379,1,3,9,19.769403493206607,2517108.054241375
2091.731080614283,2,2,45,10.117721411386698,1983184.0301837248
2136.5221282957077,1,3,50,18.960105489793253,1703731.872456306
3794.2049870290534,2,2,49,18.313099204283766,2650513.427533169
4547.285144,3,1,10,18.83217902045763,3311671.9095908348
4503.180266766516,1,2,10,16.26622384409804,2940938.574605615
4031.452401773545,1,4,11,5.998321882698851,3305432.681337113
3424.939243078866,5,2,39,6.993011427341031,3642282.311
970.2158459782148,3,3,47,7.363182956794753,1967517.1819575296
1311.1663420163006,5,4,7,19.58569870828268,2893542.114946814
4553.638429519148,2,3,23,7.279034529045757,3580911.4422829766
3268.287862502196,2,1,13,2.2629172534457718,2688558.504
640.4670271131705,3,3,22,15.588745003239517,1763131.531596112
1046.4747886105413,2,3,49,7.384659502482845,1695217.122359931
3519.4077840754458,3,3,35,12.456624643344282,3200244.317275155
622.2709689233623,2,4,16,18.494772204052943,1625912.9584849395
1307.555426236994,4,1,44,11.55256097788308,1967399.4116651525
3014.428673212979,1,1,4,12.79023354932197,2096082.5837243674
3644.33887,4,1,2,12.892965032856205,3318983.0523711187
3468.6295418114423,3,3,8,12.286743796594452,3313252.8130781497
1586.784961626463,3,4,19,3.2794106118709863,2697477.1866801293
3733.588573929158,4,4,49,9.182666753500234,3802813.869998892
1643.8959849859202,1,4,19,0.25251399754346326,2186570.630646408
2031.758671900778,1,3,50,12.56266960109913,1779298.8620327238
3884.562182519306,5,1,18,11.549630071022154,3685961.407943527
3458.3847558077446,2,3,20,6.430930662892338,3065246.682750343
4336.583006174383,5,4,15,10.525520513087054,4547454.010929767
3493.4967261215106,1,3,32,9.911849859970726,2653184.283965659
3100.5578546760753,4,2,4,5.093212797250798,3393087.589497339
1012.1689784436069,2,1,23,5.936422207042599,1437028.9631852687
2217.9495334615076,4,1,14,15.274565832912137,2498156.3681768286
1766.890417799592,5,4,25,15.139073151716405,3120336.6639697854
1673.5544308679678,3,3,43,9.448664789772863,2297476.837742844
4881.246440910761,4,4,24,14.378428153077992,4397727.575498138
2329.6299885337457,5,3,27,9.070945476595629,3313069.0028392775
4525.004842779298,5,2,32,17.042343294433028,4026328.4736053064
3377.009954387957,5,1,45,6.722852975951405,3393720.835779268
4097.169735583253,3,1,17,18.55312074692348,3057195.3709574747
2811.603209662845,3,3,17,10.89144464623695,2967645.630011001
3138.377092,3,1,37,10.76018843548704,2633657.6955725667
2767.077852803001,2,3,32,13.449126648088269,2519229.311544053
1459.0691463113958,3,4,26,6.883034615212219,2526546.798955771
3778.7893071506232,3,2,48,14.514158461051972,3023784.4024585895
1835.3983947397655,3,3,49,6.476459542418986,2407842.9246258205
706.9902522983969,4,2,14,8.011022716179834,2087947.589929919
3440.0781019915385,3,4,43,13.526598392181828,3299180.001
1379.2869893910154,2,4,12,7.631137116,2241693.670481875
4738.017771152823,5,4,33,4.079485041492408,4787092.102850881
4797.285738811384,4,3,3,17.450839029632583,4199299.006917358
4625.403316969973,1,2,34,18.450892077798333,2838356.7350333375
2228.6982811239554,3,2,18,12.571947891168225,2437583.1008429304
668.0091127270167,5,1,30,16.241900346837284,1923839.468
4684.601675385991,5,3,24,19.73438186001758,4292286.118596962
2484.010252596183,4,1,39,12.334017561214532,2564997.693178118
4853.281203792146,1,1,11,18.184973600675267,2872614.047986885
4839.927899192712,2,3,11,7.2491695194349175,3784653.4773119753
4353.241604056384,5,1,41,14.039401474155003,3755505.691
1895.575125106177,5,1,24,1.2105287793072423,2868249.9050712613
2294.430005848471,5,1,32,15.800533956641882,2735877.2418957152
4345.001355,5,4,36,16.61308258011839,4324911.943839034
1994.4568226876218,4,3,27,8.083391185832438,2865233.5057314797
1345.768085418807,1,4,42,12.81520481595886,1671252.8644945438
3049.9255548167407,5,1,8,17.181385937607935,3206007.976760529
4719.081006307436,2,1,13,17.683802473730097,3105537.3717834335
3662.531105369881,2,4,2,2.219977333900359,3541538.924111251
3108.269148393206,3,1,4,16.567006156004656,2667467.3691808274
1027.5765725913816,5,3,25,5.557442703329395,2742312.35
3306.031797476347,5,2,40,14.573407237121092,3426220.6721000695
4956.236940458758,5,4,17,6.570766654501851,4926376.055243659
1216.3696670407057,5,2,37,1.220960445548485,2663438.542713701
2880.6504704004415,5,2,20,4.276427126,3519469.610783797
4460.441516483004,2,2,38,8.232568338958972,3240242.3095666403
3859.3819181184995,1,4,15,14.850449539214745,3022354.886379272
3666.869260379179,1,1,39,2.104002183515916,2461027.5046235886
3690.9299695432805,3,3,22,16.277389085513178,3274590.121165694
2181.7610653669226,2,1,28,19.93932673005197,1716766.916186739
1891.8041147637707,5,3,9,15.786327099264595,3049848.4335009106
4161.189084,1,1,4,9.527356749,2734720.3251855527
4164.498936588396,4,2,10,11.406388195834332,3768794.6224818286
4415.118201752456,4,2,28,0.22259411522322375,4027780.136676081
4618.258431248474,4,3,44,4.264549373322409,4168511.1462621065
2849.906554988126,5,4,26,17.989863816054903,3599828.9192772824
2806.671696623678,5,1,33,0.5324151144301987,3292360.4641275527
4112.498787453811,3,2,13,18.10541956264994,3293813.9205782246
3459.8412954221667,3,3,40,2.353726901750531,3347519.0277803903
3688.6542599338945,3,1,41,2.7481751861808017,3049036.5443476485
4101.487745518844,4,3,9,3.589463226052756,4098627.526342685
4516.023503997291,5,4,41,16.007767966608405,4397529.310770796
2087.1786901467576,4,4,50,9.615912849,2965944.006191429
2252.5649916157536,3,1,10,2.989412941577843,2481167.1550806374
1013.5205352998236,5,4,10,13.767356211339965,2846086.062
3144.4326203831656,2,1,34,18.819698489882967,2190495.258498241
758.1460047056652,1,1,18,11.49178433752469,923910.2337066561
2648.6312797828245,1,4,23,2.064130113838716,2632705.9557189555
2987.636392713337,3,3,0,1.189537062933042,3334700.3732023253
1860.7815093644515,4,3,11,15.937859961527638,2721306.4735559905
3199.666346503647,2,1,46,12.559064682251256,2283324.797711116
734.2010997318175,5,2,13,18.460881048579566,2197555.846998635
764.3320304965434,4,1,2,10.99027800585496,1917033.3732354897
4219.442466902497,3,3,44,1.341668524536762,3727560.7810648303
2184.838822209557,4,1,49,8.133368314973138,2449424.9629096333
1159.066255668293,3,3,31,13.194014702969215,2025325.7518790795
2897.8703442411393,1,4,15,7.7592184836515345,2683423.7205518563
3987.971633633888,1,1,37,19.991868795130635,2273821.3590186485
1549.612521,4,1,9,8.167034412107526,2331138.490355222
3340.718093603601,2,4,16,10.970098916306247,3135629.9865799933
975.5288459725792,5,4,48,4.585301449211221,2820731.3121063826
827.3995731418738,3,2,39,3.127550265613615,1820821.6993629818
2937.960378899851,5,4,3,12.941580217408692,3859821.503206069
2978.794535084469,1,2,14,11.813393663622072,2247802.312374111
3404.6915665921088,2,4,32,0.18634326238505672,3303291.8361526704
3794.801868379711,2,3,38,5.767152542475069,3156730.801444671
4893.749149635152,5,1,9,12.907233502956995,4208402.822862754
2871.7215325252596,1,4,6,16.263761980075746,2545258.4447654327
2021.0084809414823,5,3,32,6.316136195492901,3188854.4346652003
4098.819256982296,4,4,16,12.98398374884819,4074402.8716185014
1791.6619055531266,2,1,11,5.378632810001839,1897931.2146808438
2531.474251104799,2,4,16,13.8385599,2673638.845594281
945.2080779059702,4,4,46,13.989165173383002,2327493.653589642
711.543271,1,1,15,2.691446963839842,1091615.614341527
4835.653025,2,4,13,13.335286701142397,3850793.696372905
4278.3125302537055,3,1,2,6.737986915439357,3459069.444922383
3662.286506812271,3,2,50,3.534639138693285,3175123.388736587
2399.3929554227875,1,4,43,10.057188532198106,2248225.625171749
1362.4950083117214,4,3,50,9.100704009783552,2413906.3420645073
1288.3229877527785,5,4,49,15.500108740133738,2753832.237178032
1701.0687519242194,1,1,29,1.7818586323082486,1534570.1214202621
3016.597325,5,1,45,15.816090049752438,3031649.7794627342
3744.222059880274,1,3,40,2.2110390059749836,2892563.167924955
3504.868457558018,3,3,34,4.228434658773332,3362538.4537078594
1831.7091465621486,4,1,25,10.366054154760452,2348206.4082901827
4801.407234918054,3,2,11,9.317174540446247,3824033.0447544195
3846.7464334613815,4,2,30,19.778293597207558,3342480.2628908567
3039.157831050163,5,1,16,11.830526893922542,3267641.295750948
3291.571283,1,2,36,6.615968345413586,2398139.1929116207
2446.2402746822754,2,3,7,18.012962484025312,2392533.805764949
1690.0163538050929,2,2,18,6.313077639971822,1993419.5422074273
2166.279786065551,4,3,25,5.548135140246972,3011850.1083321534
3934.522886043224,4,4,3,9.937998724457302,4118174.386636784
663.3313499709258,3,3,14,18.27217821101427,1760895.0288694946
1110.7196182304315,2,4,50,14.199433679650888,1786044.0536265152
802.4116248957121,3,3,46,13.581915987799876,1764240.4107961757
779.2067302034686,5,3,13,14.548937574271381,2498297.531720624
4364.026569648432,2,2,29,13.226848154440175,3137149.2398397303
3696.0945812721043,5,3,47,15.219947557392123,3773321.2575925277
2686.364847984231,1,1,41,3.935964232409756,1924136.0574482377
1030.4703068644064,3,4,23,3.6274399065558693,2392359.2734054034
2763.109850514062,4,4,45,7.307050541448935,3375086.8325323695
2683.275791434489,2,3,42,17.034099598037066,2355628.8218608205
1362.0882276040668,3,1,33,14.317638888384522,1694364.2541386604
2508.9472566470813,4,3,18,11.372819522571106,3101690.155976436
2353.4208313484432,1,3,2,0.48700400581458464,2421643.253662247
3309.7404314297523,2,2,3,4.7924654503237445,2908693.8248127187
3394.4120638176328,5,3,10,16.089927456742988,3790080.4008782743
799.3376429969959,1,3,12,4.925485192375951,1505832.035755296
2248.2955043564734,4,2,49,14.63277492409985,2551165.1718005575
3353.783629,2,2,17,3.7742218721046914,2881080.295233544
2813.7995377523857,2,1,18,12.166714408167236,2238238.3988171658
4368.555301228618,1,2,43,12.601406197339983,2781922.4447718267
3498.251979123358,2,4,32,15.064127891160984,3052516.3498427765
1316.9114791582906,4,4,37,8.823013777823233,2661668.382126998
910.5024885618913,1,1,2,12.690226511800901,1056119.632149245
3426.6448241077887,5,3,48,9.790698796,3742181.3542475384
716.6497664,1,1,34,18.952027103426424,673957.2592273569
3177.4125576032384,1,2,0,10.485426467668297,2443670.6675525703
4737.013062269813,5,3,34,4.270997874250938,4577759.491754206
3132.0863826538675,4,1,35,13.391061727858864,2887894.874874074
2307.9476753086965,3,1,37,11.014499831347427,2213356.7591317175
3430.468161146354,3,4,38,16.096206994680916,3267982.858783876
2616.3127181626733,5,1,24,3.6205407921055475,3180418.4613435427
3000.713872990114,4,3,39,5.2926980932107055,3364175.892735161
4742.445158616711,2,1,12,18.44041923721467,3107087.112668379
2298.8516063234065,5,1,3,18.60751965360129,2826948.3281939947
4829.238480825223,3,2,5,8.900909653,3876273.9654599223
4583.542825,4,1,10,1.0502485241567545,3985439.3599245227
1461.4809930729043,1,3,0,6.200445865656598,1871404.4973276376
905.1897239,4,4,7,5.017740822983434,2681912.9635700127
1043.4232060606773,4,4,33,8.352069354698942,2554343.1340406775
680.1760328668188,3,4,39,6.424232315683892,2081276.288224049
1015.5490273260849,3,4,8,16.59694764266384,2200508.478914083
3605.2298030319703,2,2,35,0.16041678059653533,2989079.484008372
913.2300532250075,2,3,48,12.928173884878813,1522724.4670192448
2003.4927732925498,5,2,38,13.31897748060526,2810039.755138487
4317.451368,1,4,41,13.246468848251952,3153469.2252720785
702.3965172376338,2,2,36,10.459834142239936,1326674.4938783355
4183.661323391318,3,1,41,12.260971054885077,3106284.1587022753
1840.1610090029596,4,3,43,16.228836799588095,2545176.686614035
1119.9252415352876,5,1,20,15.705515895898788,2210525.220953985
3665.643527602263,2,2,19,0.7890450058503671,3086713.7817884414
3367.3485258314895,4,1,37,0.7056870611724464,3249233.439796613
4460.876859519033,4,2,0,16.795001774132775,3859211.3123811786
3834.3125927370975,2,2,34,11.53712078,2881086.7988357022
4135.316093693334,1,3,27,19.152803971856923,2814274.885513846
1840.9521193137484,1,3,6,8.688672778637867,1981375.5221884341
1380.7339926307804,5,3,42,3.6171622457753014,2872696.669504202
3902.7049072197765,1,4,43,9.517374757,3010677.876583858
4150.072852775962,5,3,8,8.787231728434309,4323964.709923612
4958.222624802963,3,1,0,10.391829890626473,3735947.6326932693
2415.5177784102766,2,3,35,16.17814995,2273868.8082264294
2236.879577488246,4,3,33,13.146121359941842,2855190.279649603
4016.217027264786,5,3,33,3.7869790152475584,4232041.851431759
2099.5355771132786,1,2,16,14.716097401465719,1740118.7586316422
4695.3322326556845,5,2,31,11.878734644240787,4219764.341547344
4377.016108109252,5,3,1,11.608383537699858,4416013.301404946
2487.5737204500806,1,2,35,13.597311960469137,1861513.5391199747
3903.8326982825884,1,2,24,11.32291262726498,2670131.014700312
3919.988645972602,2,4,42,9.204523353128057,3330576.774028057
1053.7450228781036,4,1,50,12.84356762800051,1784674.076983359
4571.232789390094,2,2,25,14.502168684056443,3235245.9391182354
2823.1104387705714,2,1,44,4.5927621623406925,2264372.8942427896
4236.412850874063,1,2,25,9.991292895338438,2858053.4856345807
2008.2182445346916,1,3,20,9.217632018975959,1984429.399992144
4540.302205383282,4,2,17,0.8940750851646369,4131942.519092666
2312.4873864303177,5,2,28,16.705329262837715,2946810.026062722
647.6856665133128,2,1,50,7.609902276374644,1086317.7058334807
4583.680696,4,3,23,1.5465157407040548,4310582.951412616
1001.6613778589876,2,4,46,9.212192031821978,1851259.7663973714
2004.9800053978254,5,1,27,3.3134680412227864,2865893.5599787747
4780.272655023542,2,3,11,14.117846851229828,3617452.308591492
4782.671446525247,3,3,10,11.478254345836264,3976443.554450216
3123.126707742459,4,1,26,5.475264759,3086730.976798329
3380.083733547117,1,2,22,19.01442979710438,2264426.188935789
2573.160296704607,2,3,32,5.905732430286056,2573138.418
1890.1273954714839,4,4,15,11.144438448840722,3011847.8468632447
2046.1239996276302,4,2,27,16.051199703391877,2531710.923850295
3559.081206738969,2,1,27,10.32645672929431,2602684.386887916
3910.447929525792,1,1,44,19.22102794792817,2215476.3239086503
4082.9477923937334,1,1,37,16.892705882892336,2383292.696643337
4074.319828296037,2,1,5,18.42827837861783,2808267.2646799795
1001.3068534142376,4,4,41,7.516781416713335,2509990.7164771697
2775.4493406913584,1,4,28,11.012272806484045,2492152.1323203156
853.2585440732348,2,3,33,16.81930928031867,1489916.0045345612
3017.927082224436,2,4,2,18.079650682624642,2902043.445564043
2542.7342060428587,2,1,5,18.892835201573575,2033183.317094275
4505.898404136519,4,4,47,17.59512466626714,4030719.6268472346
2144.026055229146,1,2,37,14.642022591097161,1658845.493896947
1115.0948722814658,4,2,12,0.5818746300854071,2450582.8616433423
1229.1634010324779,3,3,35,6.367573644561715,2176903.145729322
3950.646779556878,1,1,14,2.665832069379266,2716679.666495171
3320.1594785915486,4,4,5,3.179696166668951,3936158.7340667127
1044.9397749402772,1,3,32,5.889053028919551,1509361.744996065
970.0699469059887,3,3,40,1.5873350980521967,2117961.1895962674
3684.264178420128,5,4,11,4.9363330652518895,4353078.346009344
920.1572280024516,2,3,42,19.143878847128903,1431873.955162965
4216.184260877568,4,1,12,6.307677213905095,3686611.504264999
3707.4657994885833,3,4,32,3.278290091488069,3692840.016018848
957.9346348243589,3,2,50,14.394173590354173,1605756.7637094131
973.2859419748445,1,2,27,16.58725248603977,1084570.839370944
4941.214145405172,1,4,35,6.349353206970021,3633292.9266675026
2246.7915013269294,2,3,4,5.642096480509581,2555226.7391575905
2230.825447,1,3,24,4.911015003310166,2161865.341585274
4176.318095933011,4,2,16,7.925898657420829,3814313.992922406
4767.893740488978,4,2,36,1.8359119809939468,4131901.5487289275
4938.404680820632,4,1,18,13.415671608468505,3875561.8263452635
3914.8640151393433,5,3,34,16.46230387260353,3922858.8482219186
2255.5421763360296,4,1,42,13.307277366810437,2416298.4589361236
967.4031534741425,1,2,33,8.481873828871663,1213737.0182639554
4019.4464300807217,1,2,45,5.850348722150361,2732389.158701671
